Site/Site AQS/Param/POC,Date.LST,ugPerMeter3
Birney/300870001/PM2.5-88101/3,4/17/2018,2.6
Birney/300870001/PM2.5-88101/3,4/18/2018,1.5
Birney/300870001/PM2.5-88101/3,4/19/2018,3
Birney/300870001/PM2.5-88101/3,4/20/2018,6.9
Birney/300870001/PM2.5-88101/3,4/21/2018,7
Birney/300870001/PM2.5-88101/3,4/22/2018,5
Birney/300870001/PM2.5-88101/3,4/23/2018,2.2
Birney/300870001/PM2.5-88101/3,4/24/2018,1.4
Birney/300870001/PM2.5-88101/3,4/25/2018,2.9
Birney/300870001/PM2.5-88101/3,4/26/2018,6.2
Birney/300870001/PM2.5-88101/3,4/27/2018,8.7
Birney/300870001/PM2.5-88101/3,4/28/2018,7.1
Birney/300870001/PM2.5-88101/3,4/29/2018,5.5
Birney/300870001/PM2.5-88101/3,4/30/2018,5.8
Birney/300870001/PM2.5-88101/3,5/1/2018,3.6
Birney/300870001/PM2.5-88101/3,5/2/2018,4.4
Birney/300870001/PM2.5-88101/3,5/3/2018,6.1
Birney/300870001/PM2.5-88101/3,5/4/2018,12
Birney/300870001/PM2.5-88101/3,5/5/2018,7.2
Birney/300870001/PM2.5-88101/3,5/6/2018,6
Birney/300870001/PM2.5-88101/3,5/7/2018,4.5
Birney/300870001/PM2.5-88101/3,5/8/2018,4.5
Birney/300870001/PM2.5-88101/3,5/9/2018,6.2
Birney/300870001/PM2.5-88101/3,5/10/2018,6.2
Birney/300870001/PM2.5-88101/3,5/11/2018,5
Birney/300870001/PM2.5-88101/3,5/12/2018,1.7
Birney/300870001/PM2.5-88101/3,5/13/2018,2.4
Birney/300870001/PM2.5-88101/3,5/14/2018,4.1
Birney/300870001/PM2.5-88101/3,5/15/2018,3.9
Birney/300870001/PM2.5-88101/3,5/16/2018,3.9
Birney/300870001/PM2.5-88101/3,5/17/2018,4.4
Birney/300870001/PM2.5-88101/3,5/18/2018,3.6
Birney/300870001/PM2.5-88101/3,5/19/2018,4.9
Birney/300870001/PM2.5-88101/3,5/20/2018,5.2
Birney/300870001/PM2.5-88101/3,5/21/2018,6.3
Birney/300870001/PM2.5-88101/3,5/22/2018,5.5
Birney/300870001/PM2.5-88101/3,5/23/2018,5.4
Birney/300870001/PM2.5-88101/3,5/24/2018,5.6
Birney/300870001/PM2.5-88101/3,5/25/2018,6.8
Birney/300870001/PM2.5-88101/3,5/26/2018,6.5
Birney/300870001/PM2.5-88101/3,5/27/2018,6.1
Birney/300870001/PM2.5-88101/3,5/28/2018,5.3
Birney/300870001/PM2.5-88101/3,5/29/2018,7.3
Birney/300870001/PM2.5-88101/3,5/30/2018,9.6
Birney/300870001/PM2.5-88101/3,5/31/2018,5.9
Birney/300870001/PM2.5-88101/3,6/1/2018,9.7
Birney/300870001/PM2.5-88101/3,6/2/2018,4.4
Birney/300870001/PM2.5-88101/3,6/3/2018,4.6
Birney/300870001/PM2.5-88101/3,6/4/2018,12.1
Birney/300870001/PM2.5-88101/3,6/5/2018,7.2
Birney/300870001/PM2.5-88101/3,6/6/2018,12.5
Birney/300870001/PM2.5-88101/3,6/7/2018,12.1
Birney/300870001/PM2.5-88101/3,6/8/2018,20.6
Birney/300870001/PM2.5-88101/3,6/9/2018,12.1
Birney/300870001/PM2.5-88101/3,6/10/2018,14.4
Birney/300870001/PM2.5-88101/3,6/11/2018,10.9
Birney/300870001/PM2.5-88101/3,6/12/2018,15.2
Birney/300870001/PM2.5-88101/3,6/13/2018,13.9
Birney/300870001/PM2.5-88101/3,6/14/2018,26.3
Birney/300870001/PM2.5-88101/3,6/15/2018,20.3
Birney/300870001/PM2.5-88101/3,6/16/2018,18.2
Birney/300870001/PM2.5-88101/3,6/17/2018,13.3
Birney/300870001/PM2.5-88101/3,6/18/2018,18.6
Birney/300870001/PM2.5-88101/3,6/19/2018,22.6
Birney/300870001/PM2.5-88101/3,6/20/2018,4
Birney/300870001/PM2.5-88101/3,6/21/2018,3.2
Birney/300870001/PM2.5-88101/3,6/22/2018,5.4
Birney/300870001/PM2.5-88101/3,6/23/2018,5
Birney/300870001/PM2.5-88101/3,6/24/2018,4.3
Birney/300870001/PM2.5-88101/3,6/25/2018,4.6
Birney/300870001/PM2.5-88101/3,6/26/2018,4.8
Birney/300870001/PM2.5-88101/3,6/27/2018,5
Birney/300870001/PM2.5-88101/3,6/28/2018,8.1
Birney/300870001/PM2.5-88101/3,6/29/2018,2.8
Birney/300870001/PM2.5-88101/3,6/30/2018,2.4
Birney/300870001/PM2.5-88101/3,7/1/2018,2.5
